Nonce,Sender,GatewayTransactionsGRPC(54.144.86.226:5005) Hash,GatewayTransactionsGRPC(54.91.48.97:5005) Hash,GatewayTransactionsGRPC(54.144.86.226:5005) Time,GatewayTransactionsGRPC(54.91.48.97:5005) Time,Time diff,GatewayTransactionsGRPC(54.144.86.226:5005) message len,GatewayTransactionsGRPC(54.91.48.97:5005) message len,Hashes are equal
1,0xd78350c5d51dfedfad65f9d402c6f35e8fe1518b,0x76d93371efc3713a71c0f902ca3808de84c28a57458e9fd9e0b7f10276b49294,0x76d93371efc3713a71c0f902ca3808de84c28a57458e9fd9e0b7f10276b49294,2023-10-15T15:24:43.378700,2023-10-15T15:24:43.376366,2334,190,190,true
8,0xb0905975800d05fd8e7e47f4af45959b8b514182,0x4dbfe789d6c37bb104452d5430a46796e052779e9319786fa3c1923b737c0e49,0x4dbfe789d6c37bb104452d5430a46796e052779e9319786fa3c1923b737c0e49,2023-10-15T15:22:20.802125,2023-10-15T15:22:20.802246,-120,155,155,true
33,0x7b167403d1a602832d03e9e97b2b7fffd21200a4,0xe8d8d936884762aae73f4518ad376ba500748916373d53be5e9350c762c40b5e,0xe8d8d936884762aae73f4518ad376ba500748916373d53be5e9350c762c40b5e,2023-10-15T15:23:36.786529,2023-10-15T15:23:36.786547,-17,217,217,true
496,0x28214441d4211b50b62be5a582bc5b278f2732e2,0x671afdc85153d015e3b3006f6817804a4879a6cf51d6d20a5a021a2b14ccf0f4,0x671afdc85153d015e3b3006f6817804a4879a6cf51d6d20a5a021a2b14ccf0f4,2023-10-15T15:25:02.814327,2023-10-15T15:25:02.814545,-217,220,220,true
1658,0xd6ee2090a56adda060be032ff8610dd152695f91,0x8933e1e0ba0a464356b2c2674e53bee8b01b2c5bb37e953e506a5c55f76f0761,0x8933e1e0ba0a464356b2c2674e53bee8b01b2c5bb37e953e506a5c55f76f0761,2023-10-15T15:24:28.710809,2023-10-15T15:24:28.710809,0,156,156,true
380233,0x8e8f818d3371f797a2db7edb32803607c8b3c6a9,0xc518b43b14c1054c12da32d9cb94873795bd4c2e7f77543a5f13564a1317d1cf,0xc518b43b14c1054c12da32d9cb94873795bd4c2e7f77543a5f13564a1317d1cf,2023-10-15T15:23:42.975577,2023-10-15T15:23:42.975574,2,318,318,true
710876,0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840,0x500da790437b82826de3d611f9779d33286aa76cb3a3210c4cb5e863166aa611,0x500da790437b82826de3d611f9779d33286aa76cb3a3210c4cb5e863166aa611,2023-10-15T15:22:47.477755,2023-10-15T15:22:47.477756,0,158,158,true
16,0x882646c55ec5e58bab362e0b62446182bb04d719,0xf777d709ef5747c4a8b117474ce87a23e055dda86bc056cab62ac39ed1963c8a,0xf777d709ef5747c4a8b117474ce87a23e055dda86bc056cab62ac39ed1963c8a,2023-10-15T15:23:53.255340,2023-10-15T15:23:53.255340,0,218,218,true
64,0x42783f55794282651344c4bdf42dc1a95644ea92,0x0ddc10dbe191f08f70f6ec3fca04267360967d3e1d4974974b2df442318889c6,0x0ddc10dbe191f08f70f6ec3fca04267360967d3e1d4974974b2df442318889c6,2023-10-15T15:24:21.798402,2023-10-15T15:24:21.797260,1141,154,154,true
250,0x23ec3e963194aeee47d80d7a6a67ea293ddd3b0a,0xa580e854f5a32bfca167afc38a2c51c10d76f5896c0ad8fabe514db75920a1d1,0xa580e854f5a32bfca167afc38a2c51c10d76f5896c0ad8fabe514db75920a1d1,2023-10-15T15:24:19.615907,2023-10-15T15:24:19.612639,3267,155,155,true
